id,clause_number,heading,body,notes,exceptions,level,parent_number,page,codebook
NCC_2022_VOLUME_THREE:Part C2,Part C2,Sanitary drainage systems,Delete C2P2 and insert NT C2P2 as follows: NT C2P2 Swimming pool drainage,[],[],2,,66,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part D1,Part D1,Excessive noise,"D1D1 Deemed-to-Satisfy Provisions [2019: D1.1] Delete D1D1(1) and insert NT D1D1(1) as follows: (1) Where a Deemed-to-Satisfy Solution is proposed, Performance Requirement— (a) D1P1 is satisfied by complying with D1D2; and (b) D1P2 is satisfied by complying with— (i) NT F5.0 through to NT F5.8 in the NT Appendix to NCC Volume One for Class 2.3 and 9c buildings; and (ii) NT Part 3.8.6 in NCC Volume Two for Class 1 buildings. Delete D1D3 and insert NT D1D3 as follows: NT D1D3 Sound insulation Insert NT Table 1 as follows: NT Table 1: Schedule of referenced documents NT Footnote: Other legislation affecting buildings 1.Plumbing and Drainage Administering Agency Department of Infrastructure, Planning and Logistics Department of Attorney-General and Justice Relevant Legislation Building Act Building Regulations Plumbers and Drainers Licencing Act 2.Building Administering Agency Department of Infrastructure, Planning and Logistics Relevant Legislation Building Act Building Regulations 3.Health Administering Agency Department of Health Relevant Legislation Public and Environmental Health Act Public and Environmental Health Regulations 4.Planning Administering Agency Department of Infrastructure, Planning and Logistics Relevant Legislation Planning Act 5.Gas Administering Agency Department of Attorney-General and Justice(NT WorkSafe) Relevant Legislation Dangerous Goods Act 6.Electrical Administering Agency Department of Attorney-General and Justice(NT WorkSafe) Relevant Legislation Electrical Workers and Contractors Act Electricity Reform Act Electrical Reform(Safety and Technical) Regulations 7.Water Supply and Sewage Services Administering Agency Power and Water Corporation Relevant Legislation Water Supply and Sewerage Services Act Water Supply and Sewerage Services Regulations QLD Introduction This Appendix contains variations and additions to the Plumbing Code of Australia(PCA) provisions which are considered necessary for the effective application of the Code in Queensland and shall be treated as amendments to the Code.",[],[],2,,66,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part B1,Part B1,Cold water services,"B1D2 Water efficiency [2019: B1.2] Delete B1D2(2) and insert QLD B1D2(2) as follows: (2) For a new Class 1 or Class 2 building, in an area serviced by a Network Utility Operator water supply, toilet cisterns must— (a) have a dual flushing mechanism; and (b) be a minimum 4 Star WELS rating discharging not more than 4.5 litres for a full flush; and (c) are compatible with the size of the toilet bowl to allow for proper functioning of the toilet.For all other installations, cisterns or flushing devices for water closets must— (a) have a dual flushing mechanism; and (b) be a minimum 3 Star WELS rating discharging not more than 6 litres or 4.5 litres for a full flush.",[],[],2,,67,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part B2,Part B2,Heated water services,Delete B2P7 and insert QLD B2P7 as follows: QLD B2P7 Energy use and source Delete B2D2 and insert QLD B2D2 as follows: QLD B2D2 Water heater in a heated water supply system Introduction to this Part,[],[],2,,67,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part B4,Part B4,does not apply in Queensland.,"Primary building element For the purposes of— (1) Volume One, a member of a building designed specifically to take part of the loads specified in B1D3and includes roof, ceiling, floor, stairway or ramp and wall framing members including bracing members designed for the specific purpose of acting as a brace to those members; or (2) Volume Two— (a) A member of a building specifically designed to take part of the building loads and includes roof, ceiling, floor, stairway or ramp and wall framing members including bracing members designed for the specific purpose of acting as a brace to those members; and (b) door jambs, window frames and reveals, architraves and skirtings. Insert QLD Table 1 as follows: QLD Table 1: Schedule of referenced documents Introduction",[],[],2,,67,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Section A,Section A,Governing requirements,--------------------------------------------------------------------------------,[],[],2,,67,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Section C,Section C,Sanitary plumbing and drainage systems,Schedule 2 Referenced documents Footnote: Other legislation affecting buildings SA Introduction This Appendix contains variations and additions to the PCA provisions which are considered necessary for the effective application of the Code in South Australia. These variations and additions are to be treated as amendments to the PCA.,[],[],2,,67,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part A6,Part A6,Building classification,"Delete A6G7 and insert SAA6G7 as follows: SA A6G7 Class 6 buildings [2019: SA A6.6] A Class 6 building is a shop or other building for the sale of goods by retail or the supply of services direct to the public, including— (a) an eating room, cafe, restaurant, milk or soft drink bar; or (b) a dining room, bar, shop or kiosk part of a hotel or motel; or (c) a hairdresser’s or barber’s shop, public laundry, or undertaker’s establishment; or (d) market or sale room, showroom, or service station; or (e) a small arts venue.",[],[],2,,67,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part B2,Part B2,Heated water services,"Delete B2D2 and insert SA B2D2 as follows: SA B2D2 Water heater in a heated water supply system [2019: SA B2.2] (1) In an established Class 1 building connected to a reticulated gas supply or a new Class 1 or Class 10 building, a water heater must be one of the following types: (a) A natural gas or LPG water heater, either instantaneous, continuous flow or storage, that has an energy rating of 5 stars or more. (b) A natural gas or LPG boosted solar water heater, with a total tank volume of not more than 700 litres, that is eligible for any number(one or more) of STCs. (c) An electric boosted solar water heater or electric heat pump water heater(air source or solar boosted), with a single tank, that is eligible for the minimum small-scale technology certificates shown in SA Table B2D2. (d) A wood combustion water heater, with no additional heating mechanisms, with a total tank volume of not more than 700 litres. (e) A wood combustion boosted solar water heater, with no additional heating mechanisms, with a total tank volume of not more than 700 litres. (2) In an established Class 1 building that is not connected to a reticulated gas supply, a water heater must be one of the following types: (a) A water heater complying with the requirements set out in(1). (b) An electric water heater with a rated hot water delivery of no greater than 250 litres. (c) An electric instantaneous water heater, having a water storage capacity no greater than one litre and total electrical input no greater than 15.0 kW. (3) The requirements of(1) and(2) do not apply to any of the following: (a) Water heaters serving buildings other than Class 1. (b) Repairs to water heaters including: (i) Like for like replacements that are the result of manufacturer, supplier or installer warranty arrangements. (ii) Replacement of a single major component of a solar or electric heat pump water heater(for example, a heat pump compressor/evaporator unit, a solar collector, or a storage tank). (c) Secondary electric water heaters of up to 55 litres rated delivery, which do not serve a shower or bath. (d) Temporary electric water heaters of up to 55 litres rated delivery, for a period not exceeding 60 days, pending installation of a complying water heater. (e) An electric or gas vented(gravity fed) water heater, located in a roof space of an established Class 1 building, of no greater than 250 litres rated hot water delivery. (f) A gas water heater installed entirely within a fully enclosed roof space, room or attached garage of an established Class 1 building, providing the water heater has an energy rating of 3 stars or more. Insert SA Table B2D2 as follows: SA Table B2D2: Small-scale technology certificates Delete B2D5 and insert SA B2D5 as follows: SA B2D5 Maximum delivery temperature [New for 2022] (1) The delivery temperature of heated water at the outlet of each sanitary fixture must be— (a) not more than 45 °C in any— (i) residential part of an aged care building; or (ii) patient care area in a health-care building; or (iii) part of an early childhood centre, or primary or secondary school, that is used by children; or (iv) designated accessible facility in a common area of a Class 2 building, or in any part of a Class 3, Class 5, Class 6, Class 7, Class 8,Class 9a, 9b, 9c or Class 10 building; or (b) not more than 50 °C in all other cases. (2) Heated water services in buildings constructed after 19 October 1995 shall have temperature control in accordance with 1(a) and(b). (3) All new solar water installations(including solar water heater replacements) shall be in accordance with 1(a) and(b). (4) Where an existing building is altered or extended in such a way that sanitary fixtures used primarily for personal hygiene purposes are installed in a location where, before the alteration or extension, no such fixture existed, the delivery temperature at the fixture shall be in accordance with 1(a) and(b). (5) Where a water heater is replaced, a temperature control device is required where such a device was in place prior to the installation of the replaced water heater.The device must meet the requirements of 1(a) and(b). Delete B2D9 and insert SA B2D9 as follows: SA B2D9 General requirements [2019: SA B2.9] A heated water service must be in accordance with AS/NZS 3500.4 with the following variations— (a) substitute AS/NZS 3500.4 clause 5.8(c) with: 5.8(c) All new or replacement unvented storage water heaters shall be fitted with new temperature/pressure relief and expansion control valves. (b) substitute AS/NZS 3500.4 clause 5.11.2.1 with: 5.11.2.1 The drain lines from the outlet of the temperature/pressure-relief valve and the expansion control valve on an individual water heater shall not be interconnected. (c) substitute AS/NZS 3500.4 clause 5.11.3(e) with: 5.11.3(e) All drain lines shall discharge separately over a gully, tundish or other visible approved outlet.",[],[],2,,67,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part B5,Part B5,Cross-connection control,"Delete B5D6 and insert SA B5D6 as follows: SA B5D6 Rainwater [2019: SA B1.4(1) and(2)] Protection of drinking water services from rainwater must be in accordance with AS/NZS 3500.1(2018) Clause 16.4 and Table 16.4 with the additions; (a) After 16.4, insert clause 16.4.1 as follows: 16.4.1 A reduction of the Hazard Rating listed in table 16.4 may be permitted following a risk assessment of the design and installation of the rainwater tankand other environmental factors in accordance with clause 16.4.2. (b) After 16.4.1, insert clause 16.4.2 as follows: 16.4.2 For buried rainwater tanks and partially buried rainwater tanks without connection to a drinking water supply or with direct or indirect connections to a drinking water supply, a dual-check valve may be used in lieu of a testable device for Containment protection and Zone protectionwhere it has been determined by risk assessment that— (i) the risk to tank rainwater quality from air pollution is low; and (ii) the risk to tank rainwater quality from groundwater and/or surface water contamination is low.In assessing this risk the permeability of the tank and piping materials and joints to groundwater contaminants should be addressed; and (iii) precautions in the design and installation of the rainwater collection system have been taken to reduce impacts to tank rainwater quality from the roof collection and delivery system.Such measures include, but are not restricted to, appropriate materials, gutter guards, filters, first flush devices, dry inlets, guards to exclude vermin and mosquitoes, and the quality of tank maintenance programs; and (iv) precautions in the design and installation of the rainwater tank have been taken to reduce impacts to tank rainwater quality from groundwater and surface water pollution.Such measures include, but are not limited to— (A) location and topography; and (B) structural integrity of the tank including installation factors such as bedding, embedment, compaction and geotechnical specifications; and (C) water tightness of tank including all penetrations, connections, access covers and joints; and (D) ingress of vermin through the overflow e.g.by provision of a reflux valve, self-sealing valve, trap check valve; and (E) the risk assessment results must be submitted to the authority having jurisdiction.",[],[],2,,68,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part B6,Part B6,Rainwater services,"Delete B6D2 and insert SA B6D2 as follows: SA B6D2 General requirements [2019: SA B1.4(1) and(2)] A rainwater service must comply with Section 15 of AS/NZS 3500.1.Additionally, after Clause 15.3.3(c) insert(d)— (d) For Class 1 buildings and extensions or additions to Class 1 buildings the following applies. Where a water service from a rainwater tank interconnect with a water service from a water main supply, the supply to a fixture, appliance or water outlet shall be maintained by a device/mechanism that facilitates a seamless automatic switching from one water service supply to another and vice versa without the need for manual intervention.",[],[],2,,69,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part C1,Part C1,Sanitary plumbing systems,"Delete C1D3 and insert SA C1D3 as follows: SA C1D3 General requirements [2019: SA C1.3] A sanitary plumbing system must be in accordance with AS/NZS 3500.2 with the following variations: (a) After AS/NZS 3500.2 clause 3.9.1(g) insert(h) and(i) as follows: (h) at the downstream end of a trade waste arrestor close to the outlet; and(i) at the upstream end of a trade waste drain connected to a trade waste arrestor and fitted with a wind driven turbine ventilator at the termination. (b) After AS/NZS 3500.2 clause 3.9.3.1(e) add(f) and(g) as follows: (f) where required by Clause 3.9.1(h) the downstream vent on any trade waste drain shall not be less than DN80; and(g) where required by Clause 3.9.1 (g) the upstream vent on a trade waste drain shall not be less than DN80. (a) After AS/NZS 3500.2 clause 4.7.1(h), insert clause 4.7.1(i) as follows: Inspection openings indicated in 4.7.1(b), (d) (e) and(f) shall be raised to finished surface level.All other inspection openings need not be raised provided they are not below paved, concreted or similar finished surfaces. (b) Substitute AS/NZS 3500.2 clause 2.3(a) as follows: Bends in pipes shall have a throat radius complying with Table 5.6 and Figure B6 of AS/NZS 1260(2017) and shall be free from wrinkling and flattening. (c) After AS/NZS 3500.2 clause 12.7(g), insert clause 12.7(h) as follows: Buried pumped discharge pipes and rising mains shall be placed in close-fitting durable sleeving or continually spirally wrapped.The sleeving or spiral wrapping shall be identified for the full length with the following statement: “sewer rising main” or “pumped discharge pipe” in accordance with AS 1345. (d) After AS/NZS 3500.2 clause 12.7(h), insert clause 12.7(i) as follows: Above ground pumped discharge pipes and rising mains shall be permanently identified with the following statement: “sewer rising main” or “pumped discharge pipe” in accordance with AS 1345.The statement shall be installed in a visible position running longitudinally, at no more than 3 metre intervals. (e) After AS/NZS 3500.2 clause 13.27.2, insert clause 13.28 as follows: All trade waste pre-treatment equipment shall connect to the sewerage system via a disconnector gully.",[],[],2,,69,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part C2,Part C2,Sanitary drainage systems,"Delete C2D4 and insert SA C2D4 as follows: SA C2D4 General requirements [New for 2020] A sanitary drainage system must be in accordance with AS/NZS 3500.2 with the following variations: (a) After AS/NZS 3500.2 clause 4.7.1(h), insert clause 4.7.1(i) as follows: Inspection openings indicated in 4.7.1(b), (d) (e) and(f) shall be raised to finished surface level.All other inspection openings need not be raised provided they are not below paved, concreted or similar finished surfaces. (b) Substitute AS/NZS 3500.2 clause 2.3(a) as follows: Bends in pipes shall have a throat radius complying with Table 5.6 and Figure B6 of AS/NZS 1260(2017) and shall be free from wrinkling and flattening. (c) After AS/NZS 3500.2 clause 12.7(g), insert clause 12.7(h) as follows: Buried pumped discharge pipes and rising mains shall be placed in close-fitting durable sleeving or continually spirally wrapped.The sleeving or spiral wrapping shall be identified for the full length with the following statement: “sewer rising main” or “pumped discharge pipe” in accordance with AS 1345. (d) After AS/NZS 3500.2 clause 12.7(h), insert clause 12.7(i) as follows: Above ground pumped discharge pipes and rising mains shall be permanently identified with the following statement: “sewer rising main” or “pumped discharge pipe” in accordance with AS 1345.The statement shall be installed in a visible position running longitudinally, at no more than 3 metre intervals. (e) After AS/NZS 3500.2 clause 13.27.2, insert clause 13.28 as follows: All trade waste pre-treatment equipment shall connect to the sewerage system via a disconnector gully.",[],[],2,,69,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part C3,Part C3,On-site wastewater management,"Delete C3D2 and insert SA C3D2 as follows: SA C3D2 Septic tanks [New for 2022] A septic tank must be in accordance with the South Australia On-Site Wastewater Systems Code. Delete C3D3 and insert SA C3D3 as follows: SA C3D3 Composting toilets [New for 2022] A waterless composting toilet must be in accordance with the South Australia On-Site Wastewater Systems Code. Delete C3D4 and insert SA C3D4 as follows: SA C3D4 Secondary treatment systems [New for 2022] A secondary treatment system must be in accordance with the South Australia On-Site Wastewater Systems Code. Delete C3D5 and insert SA C3D5 as follows: SA C3D5 Domestic grey water treatment systems [New for 2022] A domestic greywater treatment system must be in accordance with the South Australia On-Site Wastewater Systems Code. Delete C3D6 and insert SA C3D6 as follows: SA C3D6 Land application systems [New for 2022] A land application system must be in accordance with the South Australia On-Site Wastewater Systems Code. Delete C3D7 and insert SA C3D7 as follows: SA C3D7 Common effluent drainage systems [New for 2022] A common effluent drainage system must be in accordance the South Australia Community Wastewater Management Systems Code. Agriculture: Cropping, grazing, animal husbandry, intensive animal keeping, horticulture, aquaculture, wool shearing or dairy, but not viticulture or forestry. Assembly building A building where people may assemble for— (a) civic, theatrical, social, political or religious purposes including a library, theatre, public hall or place of worship; or (b) educational purposes in a school, early childhood centre, preschool, or the like; or (c) entertainment, recreational or sporting purposes including— (i) a discotheque or nightclub; or (ii) a cinema; or (iii) a sports stadium, sporting or other club; or (d) transit purposes including a bus station, railway station, airport or ferry terminal. Brush fence: A fence or gate that is primarily constructed of Broombrush(Melalueca Uncinata). Bulk grain storage facility: A building or structure used for the commercial bulk handling or storage of granular materials such as grain, ore, or the like, where only a small number of occupants are present at one time and includes cell type silos and storage sheds. Cell type silo: A type of bulk grain storage facility similar to that illustrated in diagram(a) of Figure SA 1. Insert SA Figure 1 as follows: SA Figure 1: Two types of bulk grain storage facilities elevator cell chutes C 3 conveyor distributor oversilo gallery cell top outloader chutes ▲ tower main cells E 2 elevator road hopper shelter C 1 escape hatch C 4 conveyor feedshoes and valves C 1 conveyor pit elevator boot (a) Cell type silo (b) Storage shed Farm building A single storey Class 7 or 8 building that is— (a) primarily associated with agriculture and located on land used primarily for agriculture; and (b) the total number of people accommodated in the building does not exceed one person per 200 m2 of total floor area, or six people, whichever is greater; and (c) the floor area of each building does not exceed the maximum floor area and volume specified in Table SA 1for the type of farm building; and (d) the building does not contain occupancies of excessive fire hazard as listed in E1D5 to E1D13; and (e) if the building is used for the storage of hay, an open space complying with C3D5(1) is provided around the perimeter of each building. Insert SA Table SA 1 as follows: SA Table SA 1: Farm building categories and maximum floor area Rainwater tank: A vessel for the storage of surface water collected from the roof catchment area of the building. Roof catchment area: The area of the roof(expressed in square metres), measured on the horizontal(no allowance for slope or vertical surfaces) and includes the plan area of the gutters. Small arts venue: The whole or the only part of a building that has a rise in storeys of not more than 2— (a) in which cultural activities including live music, visual arts displays, dancing, poetry and spoken word performances are provided to the public; and (b) the floor area used as a small arts venue does not exceed 300 m2 ; and (c) no pyrotechnics or theatrical smoke(smoke machines, hazers or the like) are used. Storage shed: A type of bulk grain storage facility similar to that illustrated in diagram(b) of Figure SA 1. Insert SA Table 1 as follows: SA Table 1: Schedule of referenced documents SA Footnote: Other legislation affecting buildings In addition to this Code, there are a number of other legislative technical requirements affecting the design, construction, installation, replacement, repair, alteration and maintenance of plumbing that practitioners may need to be aware of, including, but not necessarily limited to, the following list. 1.Plumbing and Drainage Administering Authority Office of the Technical Regulator, Department for Energy and Mining Relevant Legislation Water Industry Act 2012 Water Industry Regulations 2012 Plumbing Standard published by the Technical Regulator 2.Building Administering Authority Planning and Land Use Services, Department for Trade and Investment Relevant Legislation Planning, Development and Infrastructure Act 2016 Planning, Development and Infrastructure(General) Regulations 2017 3.Health Administering Authority SA Health Relevant Legislation South Australian Public Health Act 2011 South Australian Public Health(Wastewater) Regulations 2013 SA Onsite Wastewater Systems Code SA Community Wastewater Management Systems Code Safe Drinking Water Act 2011 Safe Drinking Water Regulations 2012 South Australian Public Health(Legionella) Regulations 2013 Guidelines for the Control of Legionella in Manufactured Water Systems in South Australia - revised 2013 4.Environment Administering Authority Environmental Protection Authority Relevant Legislation Environment Protection Act 1993 Environmental Protection Regulations 2009 Local Nuisance and Litter Control Act 2016(administered by the Local Governments) 5.Gas Administering Authority Office of the Technical Regulator, Department for Energy and Mining Relevant Legislation Gas Act 1997 Gas Regulations 2012 AS/NZS 5601 Gas Installations AS 3814 Industrial and Commercial Gas Fired Appliances AS/NZS 1596 The Storage and Handling of LP Gas Energy Products(Safety and Efficiency) Act 2000 Energy Products(Safety and Efficiency) Regulations 2012 6.Electrical Administering Authority Office of the Technical Regulator, Department for Energy and Mining Relevant Legislation Electricity Act 1996 Electricity(General) Regulations 2012 Energy Products(Safety and Efficiency) Act 2000 Energy Products(Safety and Efficiency) Regulations 2012 AS/NZS 3000 Wiring Rules TAS E4P3 Design, construction and installation Deemed-to-Satisfy Provisions TAS E4D1 Application TAS E4D2 General requirements TAS E4D3 Protection from surface water Schedule 1 Definitions Schedule 2 Referenced documents Footnote: Other legislation affecting buildings TAS Introduction This Appendix contains variations and additions to the Plumbing Code of Australia(PCA) provisions which are considered necessary for the effective application of the PCA in Tasmania and shall be treated as amendments to the Code.",[],[],2,,69,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part A1,Part A1,Interpreting the NCC,"A1G4 Interpretation [2019: A1.0] Insert subclause TASA1G4(7) in clause A1G4 as follows: (7) The Director of Building Control may issue written advice to deal with arising issues such as interpretation of codes, standards and regulations.",[],[],2,,72,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part A4,Part A4,A4G1,"Referenced documents Referenced documents [2019: A4.0] Delete A4G1(3) and insert TASA4G1(3) as follows: (3) The following applies: (a) All Tasmanian legislative documents referenced within the PCA are taken to be the latest published versions thereof unless noted otherwise. [2019: A5.3] Insert subclause TASA5G4(7) in clause A5G4 as follows: (7) A product used in roof plumbing, heating ventilation and air-conditioning or on-site liquid trade waste are deemed fit to be for their intended purpose if it has evidence of suitability in the form of— (a) WaterMark Licence issued in accordance with the WaterMark Certification Scheme; or (b) a current certificate issued by a certification body stating that the properties and performance of a product meet the requirements of the NCC Volume Three; or (c) authorisation from the Director of Building Control. Insert subclause TASA5G4(8) in clause A5G4 as follows: (8) A product used in On-site wastewater management systems are deemed to be fit for their intended purpose if it has evidence of suitability in the form of— (a) an On-site wastewater management system used in a plumbing installation must be issued with a Certificate of Accreditation in accordance with the AS 1546 series of Standards; or (b) a current certificate issued by a JAS-ANZ accredited certification body stating that the properties and performance of a product meets the requirement of NCC Volume Three; and (c) accreditation from the Director of Building Control. Insert subclause TASA5G4(9) in clause A5G4 as follows: (9) A holding tank or collection well for use in a plumbing or drainage installation may be verified as meeting the Performance Requirements of the Director of Building Control if complies with AS/NZS 1546.1. Insert subclause TASA5G4(10) in clause A5G4 as follows: (10) Under the Tasmanian Building Act, the Director of Building Control may accredit an On-site wastewater management system. On-site wastewater management systems larger than that covered by the Australian Standards AS/NZS 1546 Series are exempt from accreditation and a Performance Solution is required. A5G4 Tasmania Products accredited by the Director of Building Control are published in a list available at www.cbos.tas.gov.au.",[],[],2,,72,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part B1,Part B1,Cold water services,"Delete B1P5 and insert TAS B1P5 as follows: TAS B1P5 Pressure [2019:BP1.2, TAS Exemption 1] The points of discharge for a cold water service must— (a) have— (i) a working pressure of not less than 50 kPa; and (ii) a static pressure within the building of not more than 500 kPa; or (b) have water pressures suitable for the correct functioning of the fixture or appliance where water pressures outside of(a)(i) and(a)(ii) are required. Delete B1D3 and insert TAS B1D3 as follows: TAS B1D3 General requirements [2019: TAS B1.4(1), (2) and(3)] (1) The design, construction, installation, repair, alteration, additions, maintenance and commissioning of cold water services must be in accordance with AS/NZS 3500.1. (2) Cold water tanks forming part of a drinking water supply must comply with TAS B1D7. (3) Backflow prevention for boundary containment must comply with the Network Utility Operator Boundary Backflow Containment Selection Requirements. Insert TAS B1D7 as follows: TAS B1D7 Cold water storage tanks [2019 TAS B101] (1) B1D7 applies to tanks — including rainwater tanks — connected to the roof plumbing system, or a tank supplied from a nearby stream, bore or well used in drinking water services, or a drinking water supply in reticulated or non- reticulated areas. Installation of cold-water storage tanks used to supply water to a drinking water service must comply with B1D7. For connection of cold water tanks where reticulated supply is available refer to Sections 8 and 15 of AS/NZS 3500.1. (2) Cold water storage tanks and their installation must comply with the relevant requirements of the following documents— (a) AS 2070 Plastics materials for food contact use (b) AS 3600 Concrete structures (c) AS 3735 Concrete structures retaining liquids (d) AS/NZS 2179.1 Specifications for rainwater goods, accessories and fasteners – Metal shape or sheet rainwater goods, and metal accessories and fasteners (e) AS/NZS 3500.0 Plumbing and drainage (f) AS/NZS 3500.1 Water services (g) AS/NZ 3500.3 Stormwater drainage (h) AS/NZS 4020 Testing of products in contact with drinking water (i) AS/NZS 4130 Polyethylene(PE) pipes for pressure applications (j) AS/NZS 4766 Polyethylene storage tanks for water and chemicals (k) ABCB Procedures for the Certification of Plumbing and Drainage Products Section B Water services Tasmania (l) NCC 2019 Volume Three - Plumbing Code of Australia Page 134 (i) The followings references are for information only— HB 230 Rainwater Tank Design and Installation Handbook and the enHealth Guidance on the use of rainwater tanks (3) Materials and products in contact with water in a drinking water supply must comply with AS/NZS 4020.Linings and coatings must comply with AS/NZS 4020 at a surface area to volume ratio not greater than that specified in the conditions of use.Materials and products used in manufacture of tanks must be selected to ensure fitness for their intended purpose.Tanks must be selected from the relevant Standards listed in this Part.Factors to be taken into account include — but are not limited to— (a) the nature and source of the water; (b) the risk of corrosion and tank contamination; (c) the nature of the environment; (d) the physical and chemical characteristics of the materials and products; (e) compatibility of materials and products; and (f) accessibility for monitoring and maintenance. (4) Plastic tanks must comply with AS/NZS 4766 (5) Waterstops, joint fillers and sealants used in the manufacture of tanks must be certified under the WaterMark Certification Scheme to AS/NZS 4020. (6) Solders used in the manufacture of tanks must be certified under the WaterMark Certification Scheme to AS/NZS 4020.Soft solder must comply with AS 1834.1 and be lead-free for roof drainage components used for the conveyance of drinking water. (7) Stainless steel sheet must be manufactured from alloy 304 or 316 complying with ASTM A240/A240M. (8) Dezincification resistant(DR) copper alloys Where dezincification resistant copper alloys are specified, they must comply with AS 2345. (9) Steel sheet Hot-dipped zinc-coated or aluminium/zinc-coated sheet steel must comply with AS 1397 and have an internal lining or coating certified to AS/NZS 4020. (10) Concrete tanks must comply with AS 3735 or AS 3600. (11) Tank linings must comply with AS/NZS 4020. (12) In addition to the marking requirements set out in clause 8.9 of AS/NZS 3500.1 all tanks must be permanently marked with the following— (a) Manufacturer’s name, brand or trademark, and (b) The Standard which the tank is manufactured to, and (c) The date of manufacture. (13) A sludge valve must be fitted when the capacity of the tank exceeds 500 Litres.The minimum size of the valve must be not less than half the outlet pipe size and not less than DN 40. (14) All openings to tanks must be sealed so that insects, small animals, birds and sunlight cannot enter tanks, in order to minimise the growth of algae and to prevent unauthorised access. (15) Before using the water from a tank for the first time the tank must be cleaned and disinfected(See Appendix I of AS/NZS 3500.1). (16) The manufacturer’s warranty must contain the following statement: “This tank has been manufactured for the storage of drinking water and all materials used are suitable for contact with drinking water.”",[],[],2,,73,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part B2,Part B2,Heated water services,"Delete B2P9 and insert TAS B2P9 as follows: TAS B2P9 Pressure [2019:BP2.3, TAS Exemption 1] The points of discharge for a heated water service must— (a) have— (i) a working pressure of not less than 50 kPa: and (ii) a static pressure within the building of not more than 500 kPa; or (b) have water pressures suitable for the correct functioning of the fixture or appliance where water pressures outside of(a)(i) and(a)(ii) are required. Delete B2D2 and insert TAS B2D2 as follows: TAS B2D2 Water heater in a heated water supply system [2019: TAS B2.2(1)(a) and(d)] In a new Class 1 or Class 10 building— (a) a water heater in a heated water supply system must be— (i) a solar water heater complying with(b); or (ii) a heat pump water heater complying with(b); or (iii) a gas water heater complying with(c); or (iv) an electric resistance water heater complying with AS/NZS 3500.4; or (v) a wood fired thermosiphon water heater or direct fired water heater each complying with AS/NZS 3500.4; and (b) a solar water heater and a heat pump water heater must have— (i) for a building with 1 or 2 bedrooms— (A) at least 14 Small-scale Technology Certificates for the zone where it is being installed; or (B) an energy saving of not less than 40% in accordance with AS/NZS 4234 for a “small” load system; and (ii) for a building with 3 or 4 bedrooms— (A) at least 22 Small-scale Technology Certificates for the zone where it is being installed; or (B) an energy saving of not less than 60% in accordance with AS/NZS 4234 for a “medium” load system; and (iii) for a building with more than 4 bedrooms— (A) at least 28 Small-scale Technology Certificates for the zone where it is being installed; or (B) an energy saving of not less than 60% in accordance with AS/NZS 4234 for a “large” load system; and (c) a gas water heater must be rated not less than 5 stars in accordance with AS 4552. Delete B2D6 and insert TAS B2D6 as follows: TAS B2D6 Temperature control devices [2019: TAS B2.6(d), Application 1 and Exemption 1] (1) A temperature control device used to deliver heated water in accordance with B2D5(a) must be a— (a) thermostatic mixing valve; or (b) thermostatically controlled tap. (2) A temperature control device used to deliver heated water in accordance with B2D5(b) must be a— (a) thermostatic mixing valve; or (b) thermostatically controlled tap; or (c) tempering valve; or (d) temperature limited water heater limited to 50°C in accordance with AS 3498. (3) The required maximum delivery temperature must be achieved in accordance with AS/NZS 3500.4.",[],[],2,,74,NCC_2022_VOLUME_THREE
NCC_2022_VOLUME_THREE:Part B7,Part B7,Rainwater storage,"Delete B7D2 and insert TAS B7D2 as follows: TAS B7D2 Collection of rainwater [2019:B6.2(2), TAS] (1) Rainwater storage must only collect roof water. (2) A rainwater storage system for Class 1 and Class 10 buildings satisfies B7D1 if it is installed in accordance with the requirements within the Tasmanian Building Act - Directors Guidelines - Charged Downpipes to Rainwater Tanks of Class 1 and Class 10 buildings for drinking water purposes document.",[],[],2,,75,NCC_2022_VOLUME_THREE
